source,functions,application
SKIN-BLOCK Wide,provide attenuation; shield against microwaves; adhere to surfaces; allow visibility,transparent microwave shielding film for windows
SKIN SERIES Algae Knit (with Probiotic Finish),encapsulate bacteria; reduce body odour; encourage cell renewal; improve skin immune system,probiotic clothing for skin health
SkinBag,integrate-digital components; personalize-texture; design-art; decorate-interior,textured synthetic skin for fashion accessories
skinny.B,provide strength; offer insulation; enable customization; allow easy installation,ultra-thin wall cladding panels
Sky blue 3D Tiles,reflect-light; run-off-rainwater; resist-frost,façade cladding for museums
Skylt – invisible varnish protection,protect-noun; retain-noun; finish-noun; deepen-noun,invisible finish for wooden floors
Sleeve KNT,provide heat-resistance; offer mechanical robustness; cover transport rollers,covering for transport rollers in automotive glass production
Slimstone,provide lightweight tile; allow bending; enable cutting,lightweight stone tiles for interior walls
Slumber,provide warmth; create texture; offer resilience,upholstered beanbags
Smart Hybrid Textile,absorbent-fabric; quick dry-fabric; ventilation-fabric; water repellent-fabric,outdoor apparel for men and women
SMART-X®,provide-lightweight; resist-moisture; support-digital printing; offer-UV resistance; enable-recyclability,outdoor advertising displays
Smartgel,self-modelling; distributes body pressure; absorbs body heat; supports body; modifies shape,pressure-relieving mattress topper
SmartHeat,improve-durability; enhance-dimensional stability; enable-efficient heat transfer,engineered flooring and decking
SmartSlab,create-strong tile; enable-building component; emit-colours; increase-resolution,digital video display for walls and floors
Smile Plastics,recycle-material; water-resistant-panel; fire-rated-surface; moisture-proof-tabletop; scratch-resistant-furniture,tabletops and worktops made from recycled materials
Smoke out,provide-fire resistance; enable-automatic opening,fire-resistant textile for safety curtains
Snowdrift,reflect-nature; allow-light; provide-texture,decorative wall art
Soft Feel Coating,transform-surface; apply-coating; produce-finish; resist-scratch; resist-mar,automotive interior surface finish
Soft House,harvesting-energy; emitting-light; insulating-air; transforming-curtain,energy harvesting and light emitting curtains
Soft & Safe,offer RF shielding; provide antibacterial properties; enable high conductivity,grounding pad for mattresses
Soft Silica,mold-precise ways; incorporate-copper wiring; create-fascinating surfaces,knitted glass wall tapestries
Soft Step,prevent slipping; provide comfort; withstand temperature variation; facilitate water removal; allow easy cleaning; connect with clips,safety mat for wet areas
Soft-Touch Coatings,apply-non-slippery enhancement; produce-velvety surface; combine-coloured coatings; adjust-customized colour,interior surface finishes
Paper SOFTBLOCK,expand-partition; contract-partition; flex-structure; blend-joints; anchor-surface,freestanding modular partition system
SofTouch paint,create-matte finish; adhere-to surfaces; produce-soft texture; offer-performance finish,automotive clear coat finish
SOHO Serie,create-structured surface; offer-variety of sizes; provide-coordinated design,decorative floor tiles
Soily,create-tile; merge-materials; provide-texture; offer-sustainability,earth-like textured floor tiles
Solanyl,substitute-plastic; biodegradable-material; renewable-resource; convert-biomass,biodegradable shopping bags
Solar cell roof tiles,generate-energy; integrate-solar-collector; absorb-power; connect-cables,solar energy generating roof tiles
Solar Design panels,generate-energy panels; combine-colours facade; ensure-compatibility materials; provide-depth perception,energy-generating facade panels
Solar Glassblock,optimize-energy; insulate-heat; assemble-panels; reduce-cost; facilitate-recycling,solar energy generating building façade
SOLE,soothe-skin; ease-anxiety; heal-infection; provide-comfort; allow-customization,wearable gloves for skin protection
Solid oak floors,provide-appearance; offer-durability; support-structure,engineered flooring for residential interiors
Solid surface full colour,transfer-image; create-image; thermoform-piece,decorated shower wall cladding
Solid textile board,replace-material; provide-sustainability; reduce-waste,high-density board for furniture design
Solid Wood Decorative Elements,manufacture-decorative elements; produce-precision; enable-filigrane work; combine-raw materials; exchange-components; refresh-surfaces,decorative trims for luxury yachts
Solidfloor Lifestyle,provide stability; offer warmth; enhance acoustics; resist scratching,engineered wood flooring for interiors
Soligem,provide-waterproof; offer-tear resistance; resist-UV exposure; enable-custom colors,bathroom mat
SOLIO Soft,provide-flexibility; offer-tensile strength; allow-cutting; enable-sewing; support-hot-melt welding,biodegradable leather alternative for accessories
SOLIO Solid,provide hardness; offer elasticity; allow sanding; enable biodegradability,biodegradable sheet material for furniture
SolTech System,allow-sunlight; absorb-solar energy; heat-air; circulate-air,solar energy roof tile system
Soltis 86 & 92,eliminate-solar radiation; manage-heat; provide-dimensional stability; allow-light passage,external solar protection systems
Soltis,provide-thermal protection; maintain-ambient temperatures; filter-light; resist-wind; enable-storage,solar protective textiles for buildings
Soluble Textile,dissolve-fabric; create-pattern; inspire-design,interactive fashion installation
Solus,provide contrast; protect fibres; allow incorporation; reduce supports; diffuse lighting,architectural fabric structures
Somic,create-fabric; coat-textiles; weave-paper; braid-cord,decorative tying cord for crafts
Sonic Fabric,record-sound; create-textile; transmit-sound,sound-responsive upholstery
Sonoperf,absorb-sound; enable-design; provide-impression,micro-slotted acoustic panels for interior design
Sophie Collection,create-tile; provide-contrast; allow-distressing; enable-glazing,decorative wall panels for indoor spaces
Soprasolar,produce energy; provide waterproofing; adhere layers,solar energy roofing membrane
SopraStar,reflective-membrane; waterproof-membrane; reduce-emissions; keep-building-cooler,heat-reflective roofing system
Soric Flexible Core,add stiffness; reduce weight; eliminate need for flow media; meet cosmetic requirements,thin core laminate for composite structures
Soric,enable-resin flow; limit-resin absorption; provide-adhesive bonding; resist-compression,composite sandwich structures
Soundblox Carbstone,absorb-sound; improve-acoustics; integrate-solution; replace-blocks; fight-pollution,acoustic building wall solution
Soundbounce,enhance sound quality; reduce noise; provide acoustic absorption; support sustainable design; allow colour customisation; create unique patterns,acoustic wall panels and ceiling treatments
Soundless Green Wall,absorb-sound; create-wall; provide-design; customize-panel,acoustic sound absorbing wall panels
Soundreducing Carpet,absorb-sound; reduce-disruption; protect-surface; reduce-fatigue; soak-impact,sound-absorbing carpet tiles
Soundwave,reduce-sound; improve-privacy; absorb-sound; diffuse-sound,acoustic panels for office spaces
SoyaSilk,provide-nature; offer-comfort; enable-sustainability,eco-friendly textile for clothing
Soyol,manufacture-chemicals; produce-biodegradable plastics; perform-like-petroleum counterparts; compound-with-synthetic plastics,automotive seating foam
Space-defining surfaces,manipulate-light; create-aesthetics; control-texture,textured wall tiles
Spacer,provide-breathability; offer-volume; enable-lightweight,3D knitted spacer fabric for apparel
Spalted maple,create-patterns; require-curing; achieve-consistency,veneer and plywood panels
Sparkling Plastic,recycle-waste; shred-material; heat-granules; create-product,recycled plastic products from workshops
Specchi d ’arredamento,create-nostalgic effect; achieve-colour explosion; evoke-depths appearance,decorative wall and ceiling panels
Specchiopiuma mirror,reflective-panel; lightweight-installation; optical-quality-enhancement; versatile-adaptation,theatrical stage decoration system
Special Filaments,3D-printing filament; providing durability; creating textured finishes; offering variety,desktop 3D printed components
Special FX Paints,create-novel effects; provide-color shift; simulate-metal finish,special effect paint for artistic projects
Special Matt Film,provide-scratch resistance; offer-good properties; laminate-directly,presentation product binders
Special Performance Board,provide-rot resistance; reduce-moisture movement; treat-against mould,water-resistant lining board for wet rooms
Special Prints,apply-surface; generate-spark; print-material,interactive printed surfaces for matchboxes
Spectar & Transquieto,absorb-sound waves; enhance-acoustics; resist-fire; resist-heat; resist-cold,acoustic panel for sound absorption
Spectra yarn,engineered-strength; resistant-abrasion; providing-durability,lightweight outdoor gear
Spectrum,create-textile; weave-jacquard; feature-raised cords,curtains and upholstery
Spheres,create-decorative designs; allow-light transmission; provide-privacy,decorative wall panels
Spin Flooring,provide strength; create patterns; offer durability,decorative wall tiles with patterns
Spin steel tile,create ambience; offer possibilities; decorate surfaces,decorative wall and floor tiles
Spiral fabric without backing,create-fabric; explore-transparency; produce-panels; apply-to-products; treat-flame-resistant,textile art panel for the wall
Spot-on – Recycled PP material,provide visual properties; offer environmental benefit; customize in colour; create unique look,countertops and wall surfaces
Sprayflex,cover-cracks; dry-quickly; achieve-hygienic surface; provide-elasticity; offer-mechanical strength,seamless floor and wall finish
Spruce Phoenix,provide fire-retardant properties; offer sound insulation; serve as structural panel; support paintable surfaces,fire-retardant structural panel for interior use
Spun Bamboo,wick moisture; regulate temperature; prevent bacteria; provide comfort; drape like silk,breathable clothing fabric
Spun,extrude-wire; metallize-surface; create-mesh,lace-like mesh for upholstery
Spunlace,bonding-nonwoven fabric; entangling-fibers; yielding-cohesive web,nonwoven fabric for hygiene products
Spymirror,reflective-partition; coated-mirror; optical-film,one way mirror partition for observation areas
Squama® salmon leather,minimize-impact; value-traceability; resist-wear; finish-variety,ornamental leather goods
Square,insulating-material; decorative-element; elastic-structure; dirt-resistant-surface,acoustic wall panels
Squash leather,apply design; raise texture,high-end fashion accessories
Squid,self-adhesive window-covering; transparent light-filtering; heat-reflecting; humidity-resistant,self-adhesive window film for privacy
Stadip,laminate-glass; cut-glass; separate-walls,semi-translucent separation wall panels
STADUCO,optimise-thermal performance; support-external joinery; prevent-moisture swelling; facilitate-accurate alignment; minimise-material waste,building joint profiles for natural stone sills
Stainless steel mesh shielding fabric,permit air flow; resist corrosion; provide shielding; allow light transmission; enable grounding,electromagnetic shielding fabric for electronic devices
Stainless Steel Structures,allow-building; create-impression; vary-aperture; provide-transparency; ensure-resistance,double skin facade system
Stainless steel tile,create tiles; provide aesthetic quality; allow easy installation; ensure durability,loose lay flooring system
Stamisol color FTP 35,protect-buildings; control-humidity; control-thermal performance,ventilated building façade
Stamisol FTD 52,protect-nonliving; control-humidity; control-thermal performance; breathe-air,ventilated facade protection system
Stamped and punched panels,diffuse light; let light show through,decorative wall panels
Standing textiles,create-structure; shape-material; question-use,interior design elements
Starlight,provide-translucency; offer-lightweight; ensure-stiffness; enhance-aesthetics,raised-floor panel with anti-slip finish
Starpath,absorb-energy; store-energy; release-energy; glow-luminosity; enhance-safety,luminous resurfacing for pathways
Starshine face,produce-light reflections; lend-luster; coat-color,decorative glass panels for interiors
Starshine glasterrazzo,provide floor covering; allow individual solutions; resist chemicals; maintain hygiene,jointless flooring solution
Starshine,reflect-light; transmit-light; finish-surface,decorative wall panels
Steel Collection,regulate-light; provide-protection; reflect-sunlight; resist-creasing; allow-washability,light-regulating interior textiles
Steel floor tiles,provide durability; offer aesthetic appeal; resist weathering; allow customization,flooring tiles for urban and residential areas
Steel tiles,covering-walls; covering-floors; decorating-surfaces,decorative wall and floor tiles
Steel,improve-architectural possibilities; transform-finish; respond-aesthetic issues; respond-technical issues; respond-environmental issues,architectural structures and components
SteenFineer (stone veneer),provide aesthetic wall covering; enable flexible application; allow easy mounting; offer weather resistance,curved wall or front desk cover
Stegplatten,provide-decorative surface; allow-deformation; offer-custom executions,decorative wall panels
Stellanyl,provide rigidity; offer strength; enable printing; allow bonding; permit cutting; facilitate milling,rigid sheets for various design projects
Steni Nature Glass,reflect-nature; bonded-to-core; withstand-weather; provide-aesthetic; allow-ventilation,ventilated cladding for building façades
Stimulite Honeycomb,absorb-shock; provide-stability; return-shape; reinforce-structure,cushioning in athletic shoes
Stitch on PVC,sewn-embroidery dots; treated-flame retardant; attached-dividing screen; made-blinds; made-curtains,textile art panel for the wall
Stitched Wood,offer-flexibility; provide-stability; hold-together,customized furniture components
Stitched,make-flexible; make-strong,flexible textile for clothing
Stitching,stitching-panels; custom-sewing-service; manufacturing-textiles,3D acoustic panel manufacturing
Sto-Ecoshapes,influence-form; customise-colour; reduce-CO2 emissions; create-texture,custom façade cladding system
Sto-Glass Mosaic,create-facade; provide-aesthetic; ensure-durability; resist-frost; allow-cleaning,decorative building façade
StoBrick,provide insulation; allow customization; enable design freedom,hard façade cladding for external walls
StoDeco,adhere-bond; work-profile; finish-surface; apply-interior,lightweight interior wall panels
Stolotusan,repel water; prevent dirt adhesion; reduce discolouration,self-cleaning exterior wall coating
of-stone,create-surface; apply-coating; seal-surface,wall and ceiling panels
Stoneplex Sand,covering-wall; design-interior; providing-unique-textures,flexible structured wall covering for interior design
Stoneplex Slate,flexible-wall covering; hand crafted-surface; reproduction-slate,interior wall covering for residential spaces
StoVentec Glass,provide aesthetic; offer translucence; ensure durability; resist weathering,architectural facade panels
Strandgut,insulating-fabric; anti-bacterial-fabric; moisture-resistant-fabric; flame-resistant-fabric; mould-resistant-fabric,sustainable beach bag
Stratificato Print HPL,resist-wear; provide-decorative function; offer-strength; withstand-vapor,decorative wall panels
STRATOS®,create-tactile effect; replicate-textures; apply-coating,decorative surface finish for furniture
Straw Board,connect-naturally; resist-moisture; save-trees,moisture-resistant bathroom ceiling panels
STRAWave,combine-bio-resins; cast-custom-moulds; apply-colour-patterns; achieve-wave-form,non-structural facade cladding panels
Streamribs,form-non-slip surface; invite-walking; accumulate-rainwater,tactile paving tiles for outdoor spaces
Febrik Textiles,adapt-upholstery; reduce-seams; provide-tactile appeal; offer-performance,upholstered furniture with stretch fabric
Stretch Chrome Film,create-nonreflective finish; stretch-accommodate shapes; adhere-pressure sensitive; conform-relax dimensions,automotive interior trim
Stretch Maille,allow-light transmission; provide-visual screening; create-lighting effects; offer-scratch resistance; enable-customization,decorative room dividers
MaterialDistrict,measure-stretch; detect-motion,wearable health monitoring device
Stretch textile,provide warmth; offer durability; enable stretch; create smooth texture,upholstered seating for homes and offices
Striding,create-tile; design-connection; innovate-product,decorative wall tiles with geometric patterns
Stripes Galore Collection,provide insulation; offer breathability; enable wicking; ensure compostability,upholstery for guest seating
Structural Skin,transform-waste; celebrate-qualities; define-role,capsule collection emphasizing material capabilities
Structurally coloured bio material,self-assemble-colour; reflect-light; create-structural-colour,cosmetic colourants for skin products
Structuran/Decoran,create-depth; achieve-color; replace-natural-stone; resist-chemicals; form-curved-panels,interior countertops and furniture
Stylish spaces with metallic surfaces,enhance-light; create-spaciousness; transform-textures,custom kitchen cabinets
Subcutaneous,transform-noun; harden-verb; laminate-verb,acoustic partition panel
Subli Tech,protecting-layer; decorating-surface,photo prints on metal sheets
Sublidot,create-surface; play-light; create-shadow,three-dimensional decorative paneling
Sucre d’Orge,reflector-effect; machine-blasted-surface; painted-colour,decorative wall panels
Sugarcane Bagasse Composites,create-composites; exhibit-sound absorption; combine-natural binders,acoustic panels for interior design
Sugarcrete®,reduce-carbon footprint; combine-sand-mineral binders; produce-bricks,low-carbon bricks for construction
Sugru,mould-adhesive; stick-to-surface; cure-into-flexible; handle-heat; add-grip,custom grips for tools and sports gear
Sunbrella Timeless & On the Road,withstand-weather; resist-stains; retain-colour; merge-durability; offer-versatility,outdoor seating cushions
Supafil,insulate-walls; resist-moisture; reduce-thermal-conduction; install-easily,cavity wall insulation system
Super soft modal blend,soft-textile; lightweight-fabric; breathable-material,luxurious nightwear garments
Superblack,absorb-light; reduce-reflection; suppress-straylight,self-adhesive optical performance foil
SuperFabric,deliver-abrasion resistance; provide-stain resistance; allow-quick drying; reduce-weight,ski jackets and pants
Superform Aluminium,hot forming; superplastic forming,automotive body panels
SuperNature,absorb-sound; insulate-heat; regulate-temperature; provide-aesthetics,custom made textiles for interior design
SuperPan Star,combine-lightweight; offer-clean cut; perform-fastening; respond-load situations,furniture for homes and offices
SuperPan E-Z,offer clean cut; provide excellent response; enable fastening,furniture for kitchens and offices
SuperTherm,block-heat load; reduce-energy costs; reflect-radiation; resist-fire spread,thermal insulation for roofs and walls
Superwool,provide-insulation; exhibit-thermal-stability; retain-structure; allow-flexibility; enable-easy-installation,high-temperature insulation blankets
suprlabs ++VE,conducts electricity; binds permanently; provides antimicrobial benefits; enhances comfort,antimicrobial wound dressing
suprlabs +VE,bonding-substrate; releasing-ions; managing-wounds; customizing-properties,antimicrobial wound dressings
Surface iQ PVC-free Wallcovering,provide-performance; inhibit-growth; pass-standards,durable wall covering solution
Surface Synergy textile,transform-noun; create-noun; merge-noun,textured woven fabric for interior decoration
Surfaces Chip and Stick,transform-noun; create-noun; apply-noun,bespoke dining table for luxury interiors
Surfi-Sculpt®,create features; displace material; produce textures; tailor surfaces,textured surface for heat exchange
Sustainable Chestnut Wood,provide durability; offer sustainability; resist weathering; support structural integrity,garden fencing and landscaping
Sustainable paving tile,replace-sand; clean-granulate; create-tiles; recycle-concrete,sustainable outdoor paving solution
Sustonable,reduce-plastic waste; emit-few toxins; save-energy; lower-carbon footprint; recover-water,decorative surface for interior design
Suwide Capricio,provide-non-woven backing; offer-scratch resistance; ensure-seamless finish,wallcovering for interior spaces
Swart Tiles,decorate-tile; collect-light; glow-nighttime; create-panel,decorative wall panels with luminescent tiles
SWEDBOARD® Fibre,offer-alternative; provide-strength; enable-productivity; maintain-flatness; support-printing,in-store signage solutions
Swirl & Wave Fabric,create-art panels; provide-lighting solutions; form-dividing screens; make-decorative panels,decorative wall art panels
SymbioMat™,reduce environmental impact; provide biodegradable alternative; offer antibacterial properties; prevent slipping; ensure comfort,yoga mat for exercise
SymbioMatter FOAM,repurposing waste; creating biodegradable material; dampening movement; isolating components; packaging electronic devices,packaging for electronic components
Syndecrete,provide strength; reduce weight; resist chipping; create aesthetic; enhance workability,pre-cast decorative tiles and tables
Synlam,reduce weight; maintain strength; provide stiffness,lightweight aerospace air-frame
Synthetic Turf,provide cushioning; simulate grass; resist UV; allow drainage,sports field surface
T-paint Loam textured paint,reduce echo; moisturise; provide texture,interior textured wall paint
Tabu Veneer,provide-colour choice; increase-consistency; highlight-grain character,interior partition walls
Tactile textiles,create-textured surface; merge-silicone textiles; combine-knitted fabric,textured wall hangings for sensory environments
Tactility Factory,integrate-textile; enhance-environment; create-surface; provide-tactile; deliver-aesthetic,integrated textile and concrete surface panels
Stone Tadelakt lime plaster,decorate surface; repel water; resist impact; finish ornaments,decorative wall finish in bathrooms
Takeo Paper,create-business cards; develop-invitations; achieve-translucence; incorporate-texture; produce-patterns,business cards with unique finishes
Tandem Acoustics,absorb-sound; preserve-aesthetic; provide-freedom,acoustic design element for interior spaces
Tao,create-tile; provide-durability; offer-aesthetic,decorative wall and floor tiles
TaOk 3D tiles,create-tile; harden-tile; glaze-tile; reshape-tile; fire-tile,freestanding decorative wall cladding
Taralay,reinforce-flooring; facilitate-maintenance; eliminate-acrylic; treat-bacteria; provide-colour,compact vinyl floor covering
Tarnished sequin,create decorative; enhance visual; provide texture,decorative wall art panels
Tau Carbono,generate microtextures; produce high strength; create geometric glints,porcelain tiles with textured finishes
Tea Clay,retain-structure; absorb-odours; release-fragrance; provide-plasticity; offer-durability,biodegradable tableware made from recycled tea residues
Teak Edge Grain,resist-moisture; resist-insects; provide-durability; offer-stability; self-heal,furniture with moisture resistance
Teak End Grain,resist-moisture; resist-insects; resist-warping; resist-cracking; create-patterns,end grain countertops
Teakwood Embossing Stainless Steel,assure strength; resist corrosion; provide durability; create design,interior and exterior wall cladding
Teatris,provide-nominal expansion; allow-tool-free installation; offer-personalized designs; create-three dimensional texture,modular wall panels for interior decoration
Tec Line,reflect-light; break-beam; generate-stability; create-patterns,decorative metallic carpet
TECELL,create-nested shapes; cut-material; weld-material; print-designs,collapsible packaging containers
Technical Matt,provide antibacterial surface; offer scratch resistance; ensure heat resistance; allow easy repair,kitchen worktops and office desks
Techniclic cladding system,affix-wooden cladding; allow-ventilation; replace-individual pieces,invisible fixation wall and ceiling cladding
Technogel,conform-body; distribute-pressure; maintain-properties,medical cushioning systems
Technology Line,control-light; insulate-heat; resist-fire; block-sound; provide-luminosity,fire-resistant glass block panels
Technowood,provide-durability; enhance-aesthetics; resist-weathering; offer-fabrication-options,pergolas and outdoor furniture
Tecnoglas,provide-scratch resistance; offer-UV stability; create-glossy surfaces,high-gloss kitchen cabinetry
Tecnoglas Mirror,minimise risk; ensure colour stability; create mirror-front,hovering furniture socket
Tectan board,recycle-material; glue-bonding; create-board,colorful board for interior design
tectonitX™,enable-production; reduce-waste; ensure-durability; achieve-strength,large-scale concrete elements for construction
TECU Bond,protect-noun; reduce-noun; install-noun; work-noun; clad-noun,façade cladding system
TECU Copper and Copper Alloys,provide durability; enable creativity; allow design flexibility; support sustainability,external building cladding
Tefor,provide-water resistance; enable-thermoforming; support-recycling,water-resistant laminate sheets
Tegris,provide impact resistance; maintain high stiffness; enable recyclability,ballistic armor
Temal,resist-corrosion; resist-fire; resist-scratch; resist-UV; resist-weather; stay-clean,enamelled facade panels
Tempur foam,adapt-body shape; absorb-pressure; spread-pressure uniformly,mattress for sleep comfort
Tencel Lyocell,manage moisture; provide breathability; offer softness; deliver strength,moisture-wicking athletic apparel
Tendermark Concrete Veneer,create surface; laminate substrate; provide fire protection; resist scratches; resist UV,high-quality handmade concrete surface
Tenite Pebbles,moulded product; extruded product; fabricated product; incorporated fragrance,fragrance-emitting decorative pebbles
Tennage special,transmit-light; fold-bend; sew-attach,lighting fixtures and electronic device casings
Tennâge Wood Veneer,transmit-light; sew-forms; recycle-remnants; attach-backing,lighting products and electronic devices
Tensioned Ceiling System,maintain acoustic transparency; improve ventilation; reflect architectural lighting; define space; provide visibility,flat ceiling system for large spaces
Tensotherm Nanogel,trap air; prevent heat loss; enhance thermal efficiency; transmit natural light; dampen sound,tensile fabric membrane insulation layer
Terra alchemy,combine-metal; conduct-heat; conduct-electricity; change-color; change-texture,ceramic tiles with integrated metal
Terra collection by Feina,emphasize-texture; personalize-appearance; age-graciously,customized terrazzo furniture pieces
Terrart Baguette,provide structural support; offer aesthetic appeal; resist weathering,curved ceramic pipe systems
Terrart,suspended-construction; ventilated-facade; custom-made-solutions,large-sized ceramic façade system
Terravetro,coat-granules; combine-flooring; produce-tiles,mirror-coated terrazzo flooring
Terrazhel,resist-weathering; repel-insects; provide-durability; offer-lightweight,cabinetry and furniture surfaces
Terrazzo Lumina,transport light; emit light; infuse light,back-lit flooring and bar-tops
Terrazzo Lumineo,create-surface; illuminate-effects; distribute-aggregates; group-patterns,fluorescent terrazzo flooring
Terres émaillées,transform-waste; create-tiles; offer-alternative; showcase-colours,glazed ceramic tiles for interior and exterior walls
Tessuto,impregnate-paper; bond-worktops; resist-scratch; resist-impact,high-pressure laminate worktops
Tex-tiles,create-tiles; add-lighting; customize-imprint,translucent decorative wall tiles with integrated LED lighting
Texaa Vibrasto,reduce noise; envelop walls; create harmony; facilitate cleaning,acoustic wall and ceiling cladding
Texaa,sound-absorbing product; dampening panel; fire-resistant material; easy-to-clean surface,sound-absorbing window decorations
Texacoustic,reduce-noise; provide-privacy; offer-flame-retardance,theatre curtains
Texglass,regulate-light; enhance-design; provide-privacy; moderate-transparency,interior partitions with decorative inserts
Texilar,provide-noun; reduce-noun; protect-noun,light armouring system for vehicles
Texlon Foil Systems,adjusting shading; providing insulation; maintaining structural integrity,transparent roofing system
Texlon,provide insulation; resist wind loads; self cleanses,inflatable building envelope system
Texluce,blend-noun; convey-noun; enhance-noun,rear-lit false ceiling
Textile Constructions,provide-acoustics; create-atmosphere; separate-walls,three-dimensional wall separations
Textile glass,laminate-doors; produce-pieces; correspond-wishes,custom all-glass doors
Textile Sensor,sense-pressure; emit-sound,bedside patient alert system
TEXTILE SOFTWALL + SOFTBLOCK,expand-partition; contract-partition; flex-partition; diffuse-light; resist-tear; resist-UV,freestanding modular partition system
TEXTILE WALLCOVERING,add-nature; withstand-use; create-texture; respond-properties,luxurious wall covering for commercial interiors
Textile/resin composite,provide strength; offer stiffness; facilitate recycling; enable moulding,load-bearing panels for building structures
Textiles by Mae Engelgeer,provide warmth; create texture; offer resilience; enhance aesthetics,heavy knit blankets
Textiles by Samira Boon,create-products; harden-fabric; fold-structure; customize-images,folding screens for interior design
Textiles ‘INSECTED’,create-textile; inspire-fashion; provide-translucence; enable-phosphorescence; allow-structural-variation,women's fashion textiles inspired by nature
"Textreme, Texero",reduce interstices; increase fiber volume fraction; provide low weight; enhance surface finish; deliver tough performance,aerospace structural components
Texture bank,create-depth; provide-transparency; design-playful-objects; embed-textures,decorative wall panels for interior spaces
Texture surfaces,create-textures; cover-surfaces; resurface-traces,decorative wall and furniture finishes
Textured Glass,producing architectural; creating decorative; forming structural; enhancing aesthetic,decorative windows and doorlights
Textured synthetic materials,express-noun; develop-noun; behave-noun,textile surfaces for apparel design
Texwood,laminate-panel; join-staves; glue-staves,solid-wood laminated panels for furniture
TFL Cool System,reflect-sunlight; reduce-temperature,interior temperature control in vehicles
That’s Caffeine tiles,provide aesthetic appeal; offer heat resistance; ensure water resistance; enable recyclability,interior wall tiles
The Better Wae flooring collection,expand-lifecycle; create-color-combination; choose-design,custom geometric flooring tiles
The bloq,promote manufacturing; improve air quality; provide thermal insulation; provide acoustic insulation; enable rapid assembly,temporary lightweight building block system
The Breath,adsorb pollutants; filter air; trap bacteria; guarantee transpiration,air purification fabric for indoor environments
The Loomia Gentoo Heated Fabric,generate warmth; provide comfort; enable breathability; allow stretch,heated winter jackets
The Mercury Effect,manipulating-sheet; reflecting-surroundings; creating-artworks; covering-pillars; cladding-walls,wall cladding and free-standing sculptures
The Olive Wood Collection,provide texture-wall panel; exhibit splendid-grain; create geometric-design,textured wall panel from reclaimed wood
The Original Nettle 3D,provide strength; offer heat resistance; enable circular stability,automotive interior components
The production of fatigue,reveal-quality; challenge-standards; enrich-surface; record-production,decorative ceramic tiles
The Subtle Power Of Lines,create-nonlinear effects; enhance-graphic aspect; express-three-dimensionality,decorative wall panels with geometric patterns
The SuprAnodic Collection,provide colour versatility; create uniform look; hide imperfections; endure severe weather conditions; ensure high level of protection,architectural window frames and façades
The Teak Collection,reclaimed-nature; weathered-appearance; carved-design,decorative wall panel
The Wall Project,create-tile; experiment-pattern; introduce-handmade,interior wall decoration with bespoke tile patterns
The Yarn,transform-noun; weave-noun; knit-noun; create-noun,upholstery and curtain fabrics
Theatre,wrap-noun; adhere-noun; cover-noun; decorate-noun; customize-noun,decorative wall and floor coverings
Thermafiber,provide-fire protection; stop-sound; conserve-energy; provide-thermal insulation; efficiently-drain water,fire containment assembly for commercial buildings
Thermafleece,absorb-vapour; release-vapour; insulate-buildings; reduce-temperature,thermal insulation for buildings
Thermagreen,reduce evaporation loss; eliminate algae growth; allow rainwater drainage; prevent contamination; provide thermal insulation,roof garden drainage system
Thermaltech Fabric,capture-ultraviolet rays; transform-energy; warm-wearers; reduce-weight,lightweight waterproof outerwear jackets
ThermHex PP Honeycomb,minimize-resin; reduce-weight; bond-skin,sandwich panels for trailer bodies
Thermo Plastic Elastomer,create-cushions; provide-shock absorption; reduce-fuel consumption; enable-mass customisation; degrade-environmentally,lightweight shock-absorbent cellular cushions for automotive use
Thermobatch,create interactive products; change colour reversibly; indicate temperature conditions,temperature-sensitive packaging
Thermochromic Colorcomp,undergo colour changes; respond to temperature,temperature-sensitive display panel
Thermochromic glass TPG,adjust-light transmittance; reduce-shading coefficient; prevent-heat ingress; provide-comfortable living condition,dynamic solar control windows
Thermochromic Ink,reacts-heat; disappears-warm; reappears-cool,temperature-sensitive graphic designs
Thermoclear,provide impact strength; transmit visible light; offer energy efficiency; resist weather extremes; control condensate,glazing for greenhouses
Thermacool,absorb-latent heat; release-latent heat; manage-internal temperatures; reduce-energy demand,thermal management tiles for lightweight structures
Thermoformed foam,create custom contours; provide fire protection; assemble large surfaces,customized foam boards for interior design
Thermoplastic Elastomers,increase user-friendliness; provide soft-touch properties; offer excellent elasticity; enable easy colorability,medical device components
Thermoplastic Film,combine-properties; produce-polymer; adapt-properties; supply-film; weld-sheets,medical bed covers and blood bags
Thermoplastic Film,combine-properties; adapt-properties; produce-polymer; weld-material,fabric covered elastic sheet
Powder coatings Abcite® & Plascoat®,protect-noun; adhere-noun; resist-noun; replace-noun,bridge balustrade coating
Thermowood,reduce moisture content; enhance physical properties; resist water; resist fungi; provide stability,exterior cladding and decking
Thistle,create-biodegradable chair; reuse-biofuel,biodegradable lounge chair
Tibetan Cactus Fibres Carpet,regulating-temperature; providing-aesthetic; offering-durability; ensuring-washability; allowing-customization,hand knotted outdoor carpet
Tibgrid,integrate heating; allow resin impregnation; spread out heating,smart textile heating system
TiColor,anodic oxidation; thickening oxide film; achieving surface effects,decorative surface treatment for architectural elements
Tiger Oak,provide structural support; offer aesthetic appeal; absorb moisture; resist scratching,hardwood flooring with unique color patterns
