source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
slimstone,provide lightweight tile,allow bending,enable cutting,,,,lightweight stone tiles for interior walls
slumber,provide warmth,create texture,offer resilience,,,,upholstered beanbags
smart hybrid textile,absorbent fabric,quick dry fabric,ventilation fabric,water repellent fabric,,,outdoor apparel for men and women
smart x,provide lightweight,resist moisture,support digital printing,offer uv resistance,enable recyclability,,outdoor advertising displays
smartgel,self modelling,distributes body pressure,absorbs body heat,supports body,modifies shape,,pressure relieving mattress topper
smartheat,improve durability,enhance dimensional stability,enable efficient heat transfer,,,,engineered flooring and decking
smartslab,create strong tile,enable building component,emit colours,increase resolution,,,digital video display for walls and floors
smile plastics,recycle material,water resistant panel,fire rated surface,moisture proof tabletop,scratch resistant furniture,,tabletops and worktops made from recycled materials
smoke out,provide fire resistance,enable automatic opening,,,,,fire resistant textile for safety curtains
snowdrift,reflect nature,allow light,provide texture,,,,decorative wall art
soft feel coating,transform surface,apply coating,produce finish,resist scratch,resist mar,,automotive interior surface finish
soft house,harvesting energy,emitting light,insulating air,transforming curtain,,,energy harvesting and light emitting curtains
soft safe,offer rf shielding,provide antibacterial properties,enable high conductivity,,,,grounding pad for mattresses
soft silica,mold precise ways,incorporate copper wiring,create fascinating surfaces,,,,knitted glass wall tapestries
soft step,prevent slipping,provide comfort,withstand temperature variation,facilitate water removal,allow easy cleaning,connect with clips,safety mat for wet areas
soft touch coatings,apply non slippery enhancement,produce velvety surface,combine coloured coatings,adjust customized colour,,,interior surface finishes
paper softblock,expand partition,contract partition,flex structure,blend joints,anchor surface,,freestanding modular partition system
softouch paint,create matte finish,adhere to surfaces,produce soft texture,offer performance finish,,,automotive clear coat finish
soily,create tile,merge materials,provide texture,offer sustainability,,,earth like textured floor tiles
solar cell roof tiles,generate energy,integrate solar collector,absorb power,connect cables,,,solar energy generating roof tiles
solar design panels,generate energy panels,combine colours facade,ensure compatibility materials,provide depth perception,,,energy generating facade panels
solar glassblock,optimize energy,insulate heat,assemble panels,reduce cost,facilitate recycling,,solar energy generating building façade
sole,soothe skin,ease anxiety,heal infection,provide comfort,allow customization,,wearable gloves for skin protection
solid oak floors,provide appearance,offer durability,support structure,,,,engineered flooring for residential interiors
solid surface full colour,transfer image,create image,thermoform piece,,,,decorated shower wall cladding
solid textile board,replace material,provide sustainability,reduce waste,,,,high density board for furniture design
solid wood decorative elements,manufacture decorative elements,produce precision,enable filigrane work,combine raw materials,exchange components,refresh surfaces,decorative trims for luxury yachts
solidfloor lifestyle,provide stability,offer warmth,enhance acoustics,resist scratching,,,engineered wood flooring for interiors
soligem,provide waterproof,offer tear resistance,resist uv exposure,enable custom colors,,,bathroom mat
solio soft,provide flexibility,offer tensile strength,allow cutting,enable sewing,support hot melt welding,,biodegradable leather alternative for accessories
solio solid,provide hardness,offer elasticity,allow sanding,enable biodegradability,,,biodegradable sheet material for furniture
soltech system,allow sunlight,absorb solar energy,heat air,circulate air,,,solar energy roof tile system
soltis 86 92,eliminate solar radiation,manage heat,provide dimensional stability,allow light passage,,,external solar protection systems
soltis,provide thermal protection,maintain ambient temperatures,filter light,resist wind,enable storage,,solar protective textiles for buildings
soluble textile,dissolve fabric,create pattern,inspire design,,,,interactive fashion installation
solus,provide contrast,protect fibres,allow incorporation,reduce supports,diffuse lighting,,architectural fabric structures
somic,create fabric,coat textiles,weave paper,braid cord,,,decorative tying cord for crafts
sonic fabric,record sound,create textile,transmit sound,,,,sound responsive upholstery
sonoperf,absorb sound,enable design,provide impression,,,,micro slotted acoustic panels for interior design
soprasolar,produce energy,provide waterproofing,adhere layers,,,,solar energy roofing membrane
soprastar,reflective membrane,waterproof membrane,reduce emissions,keep building cooler,,,heat reflective roofing system
soric flexible core,add stiffness,reduce weight,eliminate need for flow media,meet cosmetic requirements,,,thin core laminate for composite structures
soric,enable resin flow,limit resin absorption,provide adhesive bonding,resist compression,,,composite sandwich structures
soundblox carbstone,absorb sound,improve acoustics,integrate solution,replace blocks,fight pollution,,acoustic building wall solution
soundbounce,enhance sound quality,reduce noise,provide acoustic absorption,support sustainable design,allow colour customisation,create unique patterns,acoustic wall panels and ceiling treatments
soundless green wall,absorb sound,create wall,provide design,customize panel,,,acoustic sound absorbing wall panels
soundreducing carpet,absorb sound,reduce disruption,protect surface,reduce fatigue,soak impact,,sound absorbing carpet tiles
soundwave,reduce sound,improve privacy,absorb sound,diffuse sound,,,acoustic panels for office spaces
soyasilk,provide nature,offer comfort,enable sustainability,,,,eco friendly textile for clothing
soyol,manufacture chemicals,produce biodegradable plastics,perform like petroleum counterparts,compound with synthetic plastics,,,automotive seating foam
space defining surfaces,manipulate light,create aesthetics,control texture,,,,textured wall tiles
spacer,provide breathability,offer volume,enable lightweight,,,,3d knitted spacer fabric for apparel
spalted maple,create patterns,require curing,achieve consistency,,,,veneer and plywood panels
sparkling plastic,recycle waste,shred material,heat granules,create product,,,recycled plastic products from workshops
specchi d arredamento,create nostalgic effect,achieve colour explosion,evoke depths appearance,,,,decorative wall and ceiling panels
specchiopiuma mirror,reflective panel,lightweight installation,optical quality enhancement,versatile adaptation,,,theatrical stage decoration system
special filaments,3d printing filament,providing durability,creating textured finishes,offering variety,,,desktop 3d printed components
special fx paints,create novel effects,provide color shift,simulate metal finish,,,,special effect paint for artistic projects
special matt film,provide scratch resistance,offer good properties,laminate directly,,,,presentation product binders
special performance board,provide rot resistance,reduce moisture movement,treat against mould,,,,water resistant lining board for wet rooms
special prints,apply surface,generate spark,print material,,,,interactive printed surfaces for matchboxes
spectar transquieto,absorb sound waves,enhance acoustics,resist fire,resist heat,resist cold,,acoustic panel for sound absorption
spectra yarn,engineered strength,resistant abrasion,providing durability,,,,lightweight outdoor gear
spectrum,create textile,weave jacquard,feature raised cords,,,,curtains and upholstery
spin flooring,provide strength,create patterns,offer durability,,,,decorative wall tiles with patterns
spot on recycled pp material,provide visual properties,offer environmental benefit,customize in colour,create unique look,,,countertops and wall surfaces
sprayflex,cover cracks,dry quickly,achieve hygienic surface,provide elasticity,offer mechanical strength,,seamless floor and wall finish
spruce phoenix,provide fire retardant properties,offer sound insulation,serve as structural panel,support paintable surfaces,,,fire retardant structural panel for interior use
spun bamboo,wick moisture,regulate temperature,prevent bacteria,provide comfort,drape like silk,,breathable clothing fabric
spun,extrude wire,metallize surface,create mesh,,,,lace like mesh for upholstery
spunlace,bonding nonwoven fabric,entangling fibers,yielding cohesive web,,,,nonwoven fabric for hygiene products
spymirror,reflective partition,coated mirror,optical film,,,,one way mirror partition for observation areas
squid,self adhesive window covering,transparent light filtering,heat reflecting,humidity resistant,,,self adhesive window film for privacy
stadip,laminate glass,cut glass,separate walls,,,,semi translucent separation wall panels
staduco,optimise thermal performance,support external joinery,prevent moisture swelling,facilitate accurate alignment,minimise material waste,,building joint profiles for natural stone sills
stainless steel mesh shielding fabric,permit air flow,resist corrosion,provide shielding,allow light transmission,enable grounding,,electromagnetic shielding fabric for electronic devices
stainless steel structures,allow building,create impression,vary aperture,provide transparency,ensure resistance,,double skin facade system
stainless steel tile,create tiles,provide aesthetic quality,allow easy installation,ensure durability,,,loose lay flooring system
stamisol color ftp 35,protect buildings,control humidity,control thermal performance,,,,ventilated building façade
stamisol ftd 52,protect nonliving,control humidity,control thermal performance,breathe air,,,ventilated facade protection system
starlight,provide translucency,offer lightweight,ensure stiffness,enhance aesthetics,,,raised floor panel with anti slip finish
starpath,absorb energy,store energy,release energy,glow luminosity,enhance safety,,luminous resurfacing for pathways
starshine glasterrazzo,provide floor covering,allow individual solutions,resist chemicals,maintain hygiene,,,jointless flooring solution
steel collection,regulate light,provide protection,reflect sunlight,resist creasing,allow washability,,light regulating interior textiles
steel floor tiles,provide durability,offer aesthetic appeal,resist weathering,allow customization,,,flooring tiles for urban and residential areas
steel,improve architectural possibilities,transform finish,respond aesthetic issues,respond technical issues,respond environmental issues,,architectural structures and components
steenfineer stone veneer,provide aesthetic wall covering,enable flexible application,allow easy mounting,offer weather resistance,,,curved wall or front desk cover
stellanyl,provide rigidity,offer strength,enable printing,allow bonding,permit cutting,facilitate milling,rigid sheets for various design projects
steni nature glass,reflect nature,bonded to core,withstand weather,provide aesthetic,allow ventilation,,ventilated cladding for building façades
stimulite honeycomb,absorb shock,provide stability,return shape,reinforce structure,,,cushioning in athletic shoes
stitched wood,offer flexibility,provide stability,hold together,,,,customized furniture components
stitched,make flexible,make strong,,,,,flexible textile for clothing
stitching,stitching panels,custom sewing service,manufacturing textiles,,,,3d acoustic panel manufacturing
sto ecoshapes,influence form,customise colour,reduce co2 emissions,create texture,,,custom façade cladding system
sto glass mosaic,create facade,provide aesthetic,ensure durability,resist frost,allow cleaning,,decorative building façade
stobrick,provide insulation,allow customization,enable design freedom,,,,hard façade cladding for external walls
stodeco,adhere bond,work profile,finish surface,apply interior,,,lightweight interior wall panels
stolotusan,repel water,prevent dirt adhesion,reduce discolouration,,,,self cleaning exterior wall coating
stoneplex sand,covering wall,design interior,providing unique textures,,,,flexible structured wall covering for interior design
stoneplex slate,flexible wall covering,hand crafted surface,reproduction slate,,,,interior wall covering for residential spaces
stoventec glass,provide aesthetic,offer translucence,ensure durability,resist weathering,,,architectural facade panels
strandgut,insulating fabric,anti bacterial fabric,moisture resistant fabric,flame resistant fabric,mould resistant fabric,,sustainable beach bag
straw board,connect naturally,resist moisture,save trees,,,,moisture resistant bathroom ceiling panels
strawave,combine bio resins,cast custom moulds,apply colour patterns,achieve wave form,,,non structural facade cladding panels
streamribs,form non slip surface,invite walking,accumulate rainwater,,,,tactile paving tiles for outdoor spaces
stretch chrome film,create nonreflective finish,stretch accommodate shapes,adhere pressure sensitive,conform relax dimensions,,,automotive interior trim
stretch maille,allow light transmission,provide visual screening,create lighting effects,offer scratch resistance,enable customization,,decorative room dividers
stretch textile,provide warmth,offer durability,enable stretch,create smooth texture,,,upholstered seating for homes and offices
striding,create tile,design connection,innovate product,,,,decorative wall tiles with geometric patterns
stripes galore collection,provide insulation,offer breathability,enable wicking,ensure compostability,,,upholstery for guest seating
structural skin,transform waste,celebrate qualities,define role,,,,capsule collection emphasizing material capabilities
structurally coloured bio material,self assemble colour,reflect light,create structural colour,,,,cosmetic colourants for skin products
structuran decoran,create depth,achieve color,replace natural stone,resist chemicals,form curved panels,,interior countertops and furniture
stylish spaces with metallic surfaces,enhance light,create spaciousness,transform textures,,,,custom kitchen cabinets
subcutaneous,transform noun,harden verb,laminate verb,,,,acoustic partition panel
subli tech,protecting layer,decorating surface,,,,,photo prints on metal sheets
sublidot,create surface,play light,create shadow,,,,three dimensional decorative paneling
sugarcane bagasse composites,create composites,exhibit sound absorption,combine natural binders,,,,acoustic panels for interior design
sugarcrete,reduce carbon footprint,combine sand mineral binders,produce bricks,,,,low carbon bricks for construction
sugru,mould adhesive,stick to surface,cure into flexible,handle heat,add grip,,custom grips for tools and sports gear
sunbrella timeless on the road,withstand weather,resist stains,retain colour,merge durability,offer versatility,,outdoor seating cushions
supafil,insulate walls,resist moisture,reduce thermal conduction,install easily,,,cavity wall insulation system
super soft modal blend,soft textile,lightweight fabric,breathable material,,,,luxurious nightwear garments
superblack,absorb light,reduce reflection,suppress straylight,,,,self adhesive optical performance foil
superfabric,deliver abrasion resistance,provide stain resistance,allow quick drying,reduce weight,,,ski jackets and pants
superform aluminium,hot forming,superplastic forming,,,,,automotive body panels
supernature,absorb sound,insulate heat,regulate temperature,provide aesthetics,,,custom made textiles for interior design
superpan star,combine lightweight,offer clean cut,perform fastening,respond load situations,,,furniture for homes and offices
superpan e z,offer clean cut,provide excellent response,enable fastening,,,,furniture for kitchens and offices
supertherm,block heat load,reduce energy costs,reflect radiation,resist fire spread,,,thermal insulation for roofs and walls
superwool,provide insulation,exhibit thermal stability,retain structure,allow flexibility,enable easy installation,,high temperature insulation blankets
suprlabs ve,conducts electricity,binds permanently,provides antimicrobial benefits,enhances comfort,,,antimicrobial wound dressing
surface iq pvc free wallcovering,provide performance,inhibit growth,pass standards,,,,durable wall covering solution
surface synergy textile,transform noun,create noun,merge noun,,,,textured woven fabric for interior decoration
surfaces chip and stick,transform noun,create noun,apply noun,,,,bespoke dining table for luxury interiors
surfi sculpt,create features,displace material,produce textures,tailor surfaces,,,textured surface for heat exchange
sustainable chestnut wood,provide durability,offer sustainability,resist weathering,support structural integrity,,,garden fencing and landscaping
sustainable paving tile,replace sand,clean granulate,create tiles,recycle concrete,,,sustainable outdoor paving solution
sustonable,reduce plastic waste,emit few toxins,save energy,lower carbon footprint,recover water,,decorative surface for interior design
suwide capricio,provide non woven backing,offer scratch resistance,ensure seamless finish,,,,wallcovering for interior spaces
swart tiles,decorate tile,collect light,glow nighttime,create panel,,,decorative wall panels with luminescent tiles
swedboard fibre,offer alternative,provide strength,enable productivity,maintain flatness,support printing,,in store signage solutions
symbiomattm,reduce environmental impact,provide biodegradable alternative,offer antibacterial properties,prevent slipping,ensure comfort,,yoga mat for exercise
symbiomatter foam,repurposing waste,creating biodegradable material,dampening movement,isolating components,packaging electronic devices,,packaging for electronic components
syndecrete,provide strength,reduce weight,resist chipping,create aesthetic,enhance workability,,pre cast decorative tiles and tables
synlam,reduce weight,maintain strength,provide stiffness,,,,lightweight aerospace air frame
synthetic turf,provide cushioning,simulate grass,resist uv,allow drainage,,,sports field surface
t paint loam textured paint,reduce echo,moisturise,provide texture,,,,interior textured wall paint
tabu veneer,provide colour choice,increase consistency,highlight grain character,,,,interior partition walls
tactile textiles,create textured surface,merge silicone textiles,combine knitted fabric,,,,textured wall hangings for sensory environments
tactility factory,integrate textile,enhance environment,create surface,provide tactile,deliver aesthetic,,integrated textile and concrete surface panels
stone tadelakt lime plaster,decorate surface,repel water,resist impact,finish ornaments,,,decorative wall finish in bathrooms
takeo paper,create business cards,develop invitations,achieve translucence,incorporate texture,produce patterns,,business cards with unique finishes
tandem acoustics,absorb sound,preserve aesthetic,provide freedom,,,,acoustic design element for interior spaces
taok 3d tiles,create tile,harden tile,glaze tile,reshape tile,fire tile,,freestanding decorative wall cladding
taralay,reinforce flooring,facilitate maintenance,eliminate acrylic,treat bacteria,provide colour,,compact vinyl floor covering
tau carbono,generate microtextures,produce high strength,create geometric glints,,,,porcelain tiles with textured finishes
tea clay,retain structure,absorb odours,release fragrance,provide plasticity,offer durability,,biodegradable tableware made from recycled tea residues
teak edge grain,resist moisture,resist insects,provide durability,offer stability,self heal,,furniture with moisture resistance
teak end grain,resist moisture,resist insects,resist warping,resist cracking,create patterns,,end grain countertops
teatris,provide nominal expansion,allow tool free installation,offer personalized designs,create three dimensional texture,,,modular wall panels for interior decoration
tec line,reflect light,break beam,generate stability,create patterns,,,decorative metallic carpet
tecell,create nested shapes,cut material,weld material,print designs,,,collapsible packaging containers
technical matt,provide antibacterial surface,offer scratch resistance,ensure heat resistance,allow easy repair,,,kitchen worktops and office desks
techniclic cladding system,affix wooden cladding,allow ventilation,replace individual pieces,,,,invisible fixation wall and ceiling cladding
technogel,conform body,distribute pressure,maintain properties,,,,medical cushioning systems
technology line,control light,insulate heat,resist fire,block sound,provide luminosity,,fire resistant glass block panels
technowood,provide durability,enhance aesthetics,resist weathering,offer fabrication options,,,pergolas and outdoor furniture
tecnoglas mirror,minimise risk,ensure colour stability,create mirror front,,,,hovering furniture socket
tectan board,recycle material,glue bonding,create board,,,,colorful board for interior design
tectonitxtm,enable production,reduce waste,ensure durability,achieve strength,,,large scale concrete elements for construction
tecu copper and copper alloys,provide durability,enable creativity,allow design flexibility,support sustainability,,,external building cladding
tefor,provide water resistance,enable thermoforming,support recycling,,,,water resistant laminate sheets
tegris,provide impact resistance,maintain high stiffness,enable recyclability,,,,ballistic armor
temal,resist corrosion,resist fire,resist scratch,resist uv,resist weather,stay clean,enamelled facade panels
tempur foam,adapt body shape,absorb pressure,spread pressure uniformly,,,,mattress for sleep comfort
tencel lyocell,manage moisture,provide breathability,offer softness,deliver strength,,,moisture wicking athletic apparel
tendermark concrete veneer,create surface,laminate substrate,provide fire protection,resist scratches,resist uv,,high quality handmade concrete surface
tenite pebbles,moulded product,extruded product,fabricated product,incorporated fragrance,,,fragrance emitting decorative pebbles
tennage special,transmit light,fold bend,sew attach,,,,lighting fixtures and electronic device casings
tennâge wood veneer,transmit light,sew forms,recycle remnants,attach backing,,,lighting products and electronic devices
tensioned ceiling system,maintain acoustic transparency,improve ventilation,reflect architectural lighting,define space,provide visibility,,flat ceiling system for large spaces
tensotherm nanogel,trap air,prevent heat loss,enhance thermal efficiency,transmit natural light,dampen sound,,tensile fabric membrane insulation layer
terra alchemy,combine metal,conduct heat,conduct electricity,change color,change texture,,ceramic tiles with integrated metal
terra collection by feina,emphasize texture,personalize appearance,age graciously,,,,customized terrazzo furniture pieces
terrart baguette,provide structural support,offer aesthetic appeal,resist weathering,,,,curved ceramic pipe systems
terrart,suspended construction,ventilated facade,custom made solutions,,,,large sized ceramic façade system
terravetro,coat granules,combine flooring,produce tiles,,,,mirror coated terrazzo flooring
terrazhel,resist weathering,repel insects,provide durability,offer lightweight,,,cabinetry and furniture surfaces
terrazzo lumina,transport light,emit light,infuse light,,,,back lit flooring and bar tops
terrazzo lumineo,create surface,illuminate effects,distribute aggregates,group patterns,,,fluorescent terrazzo flooring
terres émaillées,transform waste,create tiles,offer alternative,showcase colours,,,glazed ceramic tiles for interior and exterior walls
tessuto,impregnate paper,bond worktops,resist scratch,resist impact,,,high pressure laminate worktops
tex tiles,create tiles,add lighting,customize imprint,,,,translucent decorative wall tiles with integrated led lighting
texaa vibrasto,reduce noise,envelop walls,create harmony,facilitate cleaning,,,acoustic wall and ceiling cladding
texaa,sound absorbing product,dampening panel,fire resistant material,easy to clean surface,,,sound absorbing window decorations
texacoustic,reduce noise,provide privacy,offer flame retardance,,,,theatre curtains
texglass,regulate light,enhance design,provide privacy,moderate transparency,,,interior partitions with decorative inserts
texilar,provide noun,reduce noun,protect noun,,,,light armouring system for vehicles
texlon foil systems,adjusting shading,providing insulation,maintaining structural integrity,,,,transparent roofing system
texlon,provide insulation,resist wind loads,self cleanses,,,,inflatable building envelope system
texluce,blend noun,convey noun,enhance noun,,,,rear lit false ceiling
textile constructions,provide acoustics,create atmosphere,separate walls,,,,three dimensional wall separations
textile glass,laminate doors,produce pieces,correspond wishes,,,,custom all glass doors
textile sensor,sense pressure,emit sound,,,,,bedside patient alert system
textile wallcovering,add nature,withstand use,create texture,respond properties,,,luxurious wall covering for commercial interiors
textile resin composite,provide strength,offer stiffness,facilitate recycling,enable moulding,,,load bearing panels for building structures
textiles by mae engelgeer,provide warmth,create texture,offer resilience,enhance aesthetics,,,heavy knit blankets
textiles by samira boon,create products,harden fabric,fold structure,customize images,,,folding screens for interior design
textiles insected,create textile,inspire fashion,provide translucence,enable phosphorescence,allow structural variation,,women s fashion textiles inspired by nature
texture bank,create depth,provide transparency,design playful objects,embed textures,,,decorative wall panels for interior spaces
texture surfaces,create textures,cover surfaces,resurface traces,,,,decorative wall and furniture finishes
textured glass,producing architectural,creating decorative,forming structural,enhancing aesthetic,,,decorative windows and doorlights
textured synthetic materials,express noun,develop noun,behave noun,,,,textile surfaces for apparel design
texwood,laminate panel,join staves,glue staves,,,,solid wood laminated panels for furniture
tfl cool system,reflect sunlight,reduce temperature,,,,,interior temperature control in vehicles
the better wae flooring collection,expand lifecycle,create color combination,choose design,,,,custom geometric flooring tiles
the bloq,promote manufacturing,improve air quality,provide thermal insulation,provide acoustic insulation,enable rapid assembly,,temporary lightweight building block system
the breath,adsorb pollutants,filter air,trap bacteria,guarantee transpiration,,,air purification fabric for indoor environments
the loomia gentoo heated fabric,generate warmth,provide comfort,enable breathability,allow stretch,,,heated winter jackets
the mercury effect,manipulating sheet,reflecting surroundings,creating artworks,covering pillars,cladding walls,,wall cladding and free standing sculptures
the olive wood collection,provide texture wall panel,exhibit splendid grain,create geometric design,,,,textured wall panel from reclaimed wood
the production of fatigue,reveal quality,challenge standards,enrich surface,record production,,,decorative ceramic tiles
the subtle power of lines,create nonlinear effects,enhance graphic aspect,express three dimensionality,,,,decorative wall panels with geometric patterns
the supranodic collection,provide colour versatility,create uniform look,hide imperfections,endure severe weather conditions,ensure high level of protection,,architectural window frames and façades
the wall project,create tile,experiment pattern,introduce handmade,,,,interior wall decoration with bespoke tile patterns
the yarn,transform noun,weave noun,knit noun,create noun,,,upholstery and curtain fabrics
thermafiber,provide fire protection,stop sound,conserve energy,provide thermal insulation,efficiently drain water,,fire containment assembly for commercial buildings
thermagreen,reduce evaporation loss,eliminate algae growth,allow rainwater drainage,prevent contamination,provide thermal insulation,,roof garden drainage system
thermaltech fabric,capture ultraviolet rays,transform energy,warm wearers,reduce weight,,,lightweight waterproof outerwear jackets
thermhex pp honeycomb,minimize resin,reduce weight,bond skin,,,,sandwich panels for trailer bodies
thermo plastic elastomer,create cushions,provide shock absorption,reduce fuel consumption,enable mass customisation,degrade environmentally,,lightweight shock absorbent cellular cushions for automotive use
thermobatch,create interactive products,change colour reversibly,indicate temperature conditions,,,,temperature sensitive packaging
thermochromic colorcomp,undergo colour changes,respond to temperature,,,,,temperature sensitive display panel
thermochromic glass tpg,adjust light transmittance,reduce shading coefficient,prevent heat ingress,provide comfortable living condition,,,dynamic solar control windows
thermochromic ink,reacts heat,disappears warm,reappears cool,,,,temperature sensitive graphic designs
thermoclear,provide impact strength,transmit visible light,offer energy efficiency,resist weather extremes,control condensate,,glazing for greenhouses
thermacool,absorb latent heat,release latent heat,manage internal temperatures,reduce energy demand,,,thermal management tiles for lightweight structures
thermoformed foam,create custom contours,provide fire protection,assemble large surfaces,,,,customized foam boards for interior design
thermoplastic elastomers,increase user friendliness,provide soft touch properties,offer excellent elasticity,enable easy colorability,,,medical device components
thermoplastic film,combine properties,produce polymer,adapt properties,supply film,weld sheets,,medical bed covers and blood bags
powder coatings abcite plascoat,protect noun,adhere noun,resist noun,replace noun,,,bridge balustrade coating
thermowood,reduce moisture content,enhance physical properties,resist water,resist fungi,provide stability,,exterior cladding and decking
thistle,create biodegradable chair,reuse biofuel,,,,,biodegradable lounge chair
tibetan cactus fibres carpet,regulating temperature,providing aesthetic,offering durability,ensuring washability,allowing customization,,hand knotted outdoor carpet
tibgrid,integrate heating,allow resin impregnation,spread out heating,,,,smart textile heating system
ticolor,anodic oxidation,thickening oxide film,achieving surface effects,,,,decorative surface treatment for architectural elements
tiger oak,provide structural support,offer aesthetic appeal,absorb moisture,resist scratching,,,hardwood flooring with unique color patterns
timax decor decorative inlay,prevent visibility,upgrade appearance,provide weather protection,facilitate installation,,,decorative insert for ventilated curtain facades
timax gl glass fibre insulation,enhance heat insulation,scatter light,reduce solar heat,,,,u profiled glass façade systems
timber sil,barrier rot,barrier decay,barrier insects,fire retardant,structural stability,,outdoor structural framing
timber terrazzo,reclaim nature,fashion material,craft surface,optimize proportion,select colors,,flooring in public transport systems
timbercrete,reduce energy consumption,act as carbon sink,provide fire protection,,,,energy efficient building material
time included cloth,change appearance,increase interest,tempt users,,,,wearable garments that evolve over time
tinted carbon,enhance noun,apply noun,seal noun,grind noun,polish noun,,tinted carbon parts for automotive interiors
tire veneer,resist stains,reduce noise,provide durability,offer resilience,enhance aesthetics,,environmentally responsible flooring material
tissavel cleaning materials,produce polishing results,provide abrasive action,clean uneven surfaces,absorb liquid,,,cleaning cloth for mirrors and windows
tissu tricote,mold noun,filter noun,,,,,filtering system for air or liquid
tissue paper clay ceramics,create structure,explore perception,,,,,decorative ceramic sculptures
titansilver,decrease reflections,provide antiquated surface,apply zinc surface,,,,roof and façade systems
titanwood,improve durability,increase hardness,enhance hydrophobicity,reduce swelling,alter chemical structure,,uv resistant wood for outdoor furniture
tmf valencia recycled glass,create mosaic,impregnate tile,sustainability enhance,,,,mosaic wall and floor tiles
tomato fibre paper,create paper,utilize waste,ensure quality,,,,biobased paper for packaging
toplin top coat gloss,emulsify water,provide hand grease resistance,yield fine processing,,,,water based paint for indoor restoration
topperfo,absorb sound,improve acoustics,,,,,acoustic panels for walls and ceilings
torcetex,support circularity,process material waste,provide beauty,stimulate innovation,,,woven textile for interior design
totomoxtle,reinforce fibreboard,create marquetry,surface interiors,surface furniture,,,interior surfacing veneer sheets
touch of nature,stimulating sensorial properties,providing acoustic comfort,offering good aesthetics,creating natural appearance,,,seamless flooring solutions for private and institutional projects
touch of nature walking on coffee,provide nature,create flooring,offer resilience,enhance aesthetics,,,seamless floor covering
tactile textiles in faced panels,create acoustic climate,enhance atmospheric environment,provide tactile experience,combine beauty with functionality,,,faced panels for interior walls
tpe elastics tube and cord,combine properties,vary compounds,resist uv,resist chemicals,cut materials,,elastic cord for medical applications
tradition cork floor tiles,covering floor,customize size,provide comfort,reduce noise,enhance aesthetics,,interior floor covering tiles
traditional indian natural dyes,enhance biodiversity,reduce waste,support ecological restoration,offer vibrant colors,,,dyeing textiles with grape leaves
transparent solar cells,generate power,provide view,reduce energy consumption,protect against sun,,,transparent building façades
transparenz,create grid,pour coloured resin,customize patterns,,,,interior dividing walls and table tops
transpor dry layer,transport moisture,evaporate sweat,resist stains,resist odor,,,moisture wicking sports clothing
tree free paper,provide durability,create smoothness,offer resilience,,,,handmade paper for books
tree of culture,evoke mindfulness,remind of tree,reconnect cellulose,link conceptually,,,tangible objects that evoke connection to trees
treeplast,absorb shock,mould injection,biodegrade water,finish wood,,,ergonomically designed laptop stand
trend glamour,create decorative effect,provide high transparency,resist chemical influences,offer low thermal conductivity,offer wide colour range,,mosaic decorations for wall coverings
trespex b w colored,provide translucence,create 3d effect,embed vinyl,,,,presentation shelves
tretford s special feature,absorb moisture,release moisture,bind dust particles,provide warmth,reduce airborne dust,,hygroscopic carpet for indoor spaces
tri the material that touches you,combine naturals,produce 3d printed shapes,process wood like,design sustainable products,,,lightweight wall and floor coverings
triaxial woven fabric,maintain structural integrity,reinforce composite materials,respond tensile deformation,respond shear deformation,,,reinforcement for composite structures
tribar facade solutions,permit light,filter light,block light,isolate noise,provide visual effect,create endless lines,grated stair panels
tribar floor solutions,permit light,filter light,block light,isolate noise,create visual effect,,grated stair panels for treads
tricoya,demonstrate durability,provide dimensional stability,reduce water absorption,enhance resistance to decay,,,exterior and interior wall panels
trifilon revo,reduce co2 footprint,replace fossil plastics,achieve surface finishes,,,,injection moulded components for consumer products
trifilon switch,offer sustainable choice,integrate renewable feedstocks,achieve surface finishes,,,,eco friendly consumer products
trifold,enhance compressive strength,equalize compression and tension,reduce surface area,support flexibility,,,self supportive sandwich structure
tritan copolyester,offer clarity,provide toughness,ensure heat resistance,resist chemicals,allow dishwasher safety,,infant feeding bottles
trosifol,provide safety glass,offer noise reduction,achieve colour stability,ensure light stability,,,laminated safety glass for architectural glazing
formica patterns truescale laminates,mimic nature,reduce cost,enhance aesthetics,,,,commercial interior surfaces
tt sheet,allow sewing,enable thermoforming,provide genuine finish,,,,fashion accessories and furniture
tuohi,cover noun,mount verb,interlock adjective,,,,wall paneling for interior spaces
turmeric as mood booster,boost mood,absorb sound,influence color,,,,sound absorbing interior products
twentinox fabrics,provide strength,offer durability,allow welding,enable customization,,,architectural mesh panels
tx active,reduce pollutants,enhance aesthetics,decompose micro organisms,,,,architectural concrete elements
typha insulation,provide insulation,meet building standards,reduce co2 emissions,lower energy use,,,insulation for cavity walls
tyvek uv façade tyvek roofliner,provide protection,offer insulation,resist mold,,,,roof underlayment for sloped roofs
u turn,create pattern,fit tile,print images,resist uv,resist frost,,ceramic floor and wall tiles
uhpc facade panels,reduce raw materials,save energy,provide durability,create facade panels,,,architectural facade for public buildings
ultra lightweight concrete,reduce sound,demonstrate insulation properties,adapt mechanical properties,,,,sound reducing concrete panels
ultra thin stone veneer,provide aesthetic,enable flexibility,allow thermo forming,,,,laptop bags made with stone leather
